timestamp,VibAccel_m_s2,faulted
2025-01-01 00:00:09,25.039562159274343,faulted
2025-01-01 00:00:19,25.41095617236152,normal
2025-01-01 00:00:29,24.448228803515526,normal
2025-01-01 00:00:39,24.75496900447448,normal
2025-01-01 00:00:49,23.17444425220682,normal
2025-01-01 00:00:59,21.20704766251049,normal
2025-01-01 00:01:09,25.55735872598266,normal
2025-01-01 00:01:19,23.833351394848528,normal
2025-01-01 00:01:29,25.75488747517105,normal
2025-01-01 00:01:39,26.586905938679266,normal
2025-01-01 00:01:49,25.181188572165592,normal
2025-01-01 00:01:59,25.61457634702331,normal
2025-01-01 00:02:09,23.03567642902651,normal
2025-01-01 00:02:19,26.4690015820567,normal
2025-01-01 00:02:29,22.660445384873515,normal
2025-01-01 00:02:39,24.56445659974671,normal
2025-01-01 00:02:49,,normal
2025-01-01 00:02:59,25.385816106569624,normal
2025-01-01 00:03:09,25.18614409547625,normal
2025-01-01 00:03:19,23.068546911159885,normal
2025-01-01 00:03:29,24.498890662540116,normal
2025-01-01 00:03:39,23.33903506087422,normal
2025-01-01 00:03:49,24.508655657369445,normal
2025-01-01 00:03:59,25.969589219305902,normal
2025-01-01 00:04:09,23.17902994784776,normal
2025-01-01 00:04:19,28.01696617385205,normal
2025-01-01 00:04:29,24.782630763400167,normal
2025-01-01 00:04:39,26.56207288726719,normal
2025-01-01 00:04:49,28.944940315823008,normal
2025-01-01 00:04:59,23.111834857312694,normal
2025-01-01 00:05:09,24.902052875311533,normal
2025-01-01 00:05:19,25.181191217420096,normal
2025-01-01 00:05:29,24.257936331543096,normal
2025-01-01 00:05:39,27.341362820033662,normal
2025-01-01 00:05:49,25.410763016796142,normal
2025-01-01 00:05:59,27.633301331341208,normal
2025-01-01 00:06:09,24.90496639900336,normal
2025-01-01 00:06:19,26.2879268380286,normal
2025-01-01 00:06:29,25.11644451399605,normal
2025-01-01 00:06:39,25.1605668457467,normal
2025-01-01 00:06:49,26.15973898375975,normal
2025-01-01 00:06:59,26.7065542782714,normal
2025-01-01 00:07:09,24.57707187689343,normal
2025-01-01 00:07:19,24.616705058719177,normal
2025-01-01 00:07:29,24.915515192619804,normal
2025-01-01 00:07:39,,normal
2025-01-01 00:07:49,23.821803166011296,normal
2025-01-01 00:07:59,25.55427018746404,normal
2025-01-01 00:08:09,27.67439354182775,normal
2025-01-01 00:08:19,23.99037866862055,normal
2025-01-01 00:08:29,25.64714283084214,normal
2025-01-01 00:08:39,28.686640071898136,normal
2025-01-01 00:08:49,25.1737711515781,normal
2025-01-01 00:08:59,24.72029484401365,normal
2025-01-01 00:09:09,26.51000727754742,normal
